date, time, temperature, humidity
2023-11-07, 07:34:58, 21.70, 64.00
2023-11-07, 07:36:01, 21.70, 63.90
2023-11-07, 07:37:01, 21.80, 63.90
2023-11-07, 07:38:02, 21.80, 63.60
2023-11-07, 07:39:02, 21.80, 63.60
2023-11-07, 07:40:03, 21.90, 63.30
2023-11-07, 07:41:03, 21.90, 63.00
2023-11-07, 07:42:06, 21.90, 63.30
2023-11-07, 07:43:07, 22.00, 63.80
2023-11-07, 07:44:08, 22.00, 64.00
2023-11-07, 07:45:08, 22.20, 62.20
2023-11-07, 07:46:09, 22.30, 62.00
2023-11-07, 07:47:09, 22.40, 61.00
2023-11-07, 07:48:10, 22.40, 61.50
2023-11-07, 07:49:10, 22.30, 61.60
2023-11-07, 07:50:11, 22.20, 62.10
2023-11-07, 07:51:12, 22.20, 62.10
2023-11-07, 07:52:12, 22.10, 63.10
2023-11-07, 07:53:13, 22.10, 63.60
2023-11-07, 07:54:16, 22.00, 63.70
2023-11-07, 07:55:16, 22.00, 63.50
2023-11-07, 07:56:17, 21.90, 64.70
2023-11-07, 07:57:17, 21.90, 64.30
2023-11-07, 07:58:18, 21.90, 64.30
2023-11-07, 07:59:19, 21.90, 64.70
2023-11-07, 08:00:22, 21.90, 64.50
2023-11-07, 08:01:22, 22.00, 64.60
2023-11-07, 08:02:23, 22.00, 64.70
2023-11-07, 08:03:23, 22.00, 63.60
2023-11-07, 08:04:24, 22.00, 64.10
2023-11-07, 08:05:25, 22.00, 63.50
2023-11-07, 08:06:25, 22.00, 63.30
2023-11-07, 08:07:26, 22.00, 63.60
2023-11-07, 08:08:26, 21.90, 63.50
2023-11-07, 08:09:27, 21.90, 63.60
2023-11-07, 08:10:27, 21.90, 63.60
2023-11-07, 08:11:28, 21.90, 63.30
2023-11-07, 08:12:29, 21.90, 63.20
2023-11-07, 08:13:29, 21.90, 62.90
2023-11-07, 08:14:35, 21.90, 63.00
2023-11-07, 08:15:38, 22.00, 62.50
2023-11-07, 08:16:41, 22.00, 62.50
2023-11-07, 08:17:42, 22.00, 62.40
2023-11-07, 08:18:42, 22.00, 62.20
2023-11-07, 08:19:43, 22.00, 62.20
2023-11-07, 08:20:43, 22.10, 62.10
2023-11-07, 08:21:44, 22.10, 61.80
2023-11-07, 08:22:44, 22.10, 61.60
2023-11-07, 08:23:48, 22.10, 61.30
2023-11-07, 08:24:48, 22.10, 61.40
2023-11-07, 08:25:51, 22.10, 61.40
2023-11-07, 08:26:54, 22.20, 61.20
2023-11-07, 08:27:55, 22.20, 61.00
2023-11-07, 08:28:58, 22.20, 61.00
2023-11-07, 08:29:59, 22.20, 60.90
2023-11-07, 08:30:59, 22.20, 60.80
2023-11-07, 08:32:00, 22.20, 60.70
2023-11-07, 08:33:00, 22.30, 60.50
2023-11-07, 08:34:03, 22.30, 60.10
2023-11-07, 08:35:04, 22.30, 59.60
2023-11-07, 08:36:04, 22.40, 59.80
2023-11-07, 08:37:05, 22.30, 59.80
2023-11-07, 08:38:06, 22.30, 59.60
2023-11-07, 08:39:06, 22.40, 59.70
2023-11-07, 08:40:07, 22.40, 59.30
2023-11-07, 08:41:12, 22.30, 59.40
2023-11-07, 08:42:13, 22.40, 59.30
2023-11-07, 08:43:16, 22.50, 59.30
2023-11-07, 08:44:16, 22.50, 58.90
2023-11-07, 08:45:17, 22.50, 58.50
2023-11-07, 08:46:18, 22.50, 58.90
2023-11-07, 08:47:18, 22.50, 58.50
2023-11-07, 08:48:19, 22.60, 58.80
2023-11-07, 08:49:19, 22.70, 58.50
2023-11-07, 08:50:20, 22.70, 57.60
2023-11-07, 08:51:20, 22.70, 57.80
2023-11-07, 08:52:21, 22.70, 58.00
2023-11-07, 08:53:22, 22.70, 56.70
2023-11-07, 08:54:22, 22.80, 57.40
2023-11-07, 08:55:23, 22.90, 56.90
2023-11-07, 08:56:23, 22.90, 57.20
2023-11-07, 08:57:26, 22.90, 57.00
2023-11-07, 08:58:27, 23.10, 56.50
2023-11-07, 08:59:28, 23.10, 56.40
2023-11-07, 09:00:28, 23.10, 56.20
2023-11-07, 09:01:31, 23.20, 56.20
2023-11-07, 09:02:32, 23.30, 55.50
2023-11-07, 09:03:32, 23.30, 55.70
2023-11-07, 09:04:33, 23.40, 55.40
2023-11-07, 09:05:34, 23.50, 54.80
2023-11-07, 09:06:34, 23.60, 54.80
2023-11-07, 09:07:35, 23.70, 54.80
2023-11-07, 09:08:35, 23.80, 54.50
2023-11-07, 09:09:41, 23.90, 53.80
2023-11-07, 09:10:42, 24.10, 53.20
2023-11-07, 09:11:42, 24.20, 52.80
2023-11-07, 09:12:43, 24.30, 52.50
2023-11-07, 09:13:46, 24.40, 52.00
2023-11-07, 09:14:46, 24.60, 51.60
2023-11-07, 09:15:47, 24.70, 51.30
2023-11-07, 09:16:48, 24.80, 50.90
2023-11-07, 09:17:48, 25.00, 50.60
2023-11-07, 09:18:49, 25.00, 50.30
2023-11-07, 09:19:49, 25.10, 50.00
2023-11-07, 09:20:52, 25.20, 49.10
2023-11-07, 09:21:55, 25.20, 49.20
2023-11-07, 09:22:56, 25.30, 49.00
2023-11-07, 09:23:57, 25.40, 48.80
2023-11-07, 09:24:57, 25.50, 48.80
2023-11-07, 09:25:58, 25.60, 48.30
2023-11-07, 09:26:58, 25.70, 48.30
2023-11-07, 09:27:59, 25.80, 47.70
2023-11-07, 09:28:59, 25.80, 47.40
2023-11-07, 09:30:00, 25.90, 47.30
2023-11-07, 09:31:01, 25.90, 47.40
2023-11-07, 09:32:01, 25.90, 46.80
2023-11-07, 09:33:02, 26.00, 46.90
2023-11-07, 09:34:02, 26.00, 46.80
2023-11-07, 09:35:03, 26.00, 46.80
2023-11-07, 09:36:03, 26.10, 46.00
2023-11-07, 09:37:12, 26.00, 46.10
2023-11-07, 09:38:12, 26.10, 45.70
2023-11-07, 09:39:15, 26.20, 45.70
2023-11-07, 09:40:16, 26.30, 45.30
